"#1627047"; "diary"; "Жуйк, есть заброшенный проект, который я когда-то вёл. С клиентом не срослось, о чём я ему рассказал и отдал архив. Теперь это чмо говорит что нужно поднять сайт.

Вопрос такой: сколько с него содрать?))"
"#1627004"; "test1"; "test3"; "test-n"; "holy_shit"; "да-да'

нет!\'

'dfskdgs'dsfsd fsd\'dsgsdgsd"
"#1626909"; "diary"; "Не осилил Thunderbird. Он дублирует функционал гуглопочты, и местами из-за этого делает совсем ненужные вещи. Нужна простая уведомлялка."
"#1626818"; "diary"; "Уйду я нафиг в горы на пол года. Заниматься своим характером. Люди меня за кого-то не того держат, я себя не очень хорошо знаю за кого держать. У меня и план есть ^__^"
"#1626634"; "diary"; "Жизнь идёт не зря. Осознал."
"#1626258"; "diary"; "Ня! Интервью на днях напечатают ^__^"
"#1625366"; "diary"; "Может и с той девчонкой так сделать? Смотреть и думать когда будут свободные деньги — это зло. С другой стороны, тян всегда мешали работе, стоит ли фейлить в такой важный момент?"
"#1625363"; "diary"; "Запарило ждать клиента. Тупо написал ему что хочу знать о чём проект. Должно повезти ещё раз)"
"#1625272"; "todo"; "Таки переехать в Питер. Лучше забыть про другие города, и двинуть сразу туда, там тупо проще найти чем себя развлечь."
"#1625269"; "diary"; "Кул, пока ждал что родит в ответ снейкхани. пришла в голову мысль о том, чего я на самом деле хочу. Попробую ка я не торопиться с работой)"
"#1625256"; "diary"; "Нужно совсем перестать спорить с теми, в чьей неправоте я уверен."
"#1625219"; "diary"; "Вместо порно мне нравится слушать Лебединое Озеро. Что тут скажешь, это не лечится. Где б ещё такую ёбнутую тян найти."
"#1625212"; "diary"; "Спать! Интересно, а аспирин помогает от сна? И чего бы из кинца глянуть?"
"#1625163"; "humour"; "<a href='http://cs9783.vkontakte.ru/u2415997/146431520/y_9a62f43f.jpg' rel='nofollow'>cs9783.vkontakte.ru</a>"
"#1625150"; "diary"; "Сегодня... Сегодня? Сегодня!!!

Час чтения новостей. Ожидание чего-то там.

Три часа изучения английского. Затянуло, пришлось делать усилие и отрываться.

Два часа чтения справочника по Ruby. Ruby — няшка!

Всё вышеперечисленно заняло 13 часов. Чёрт, как я от жадности к своему времени ещё не умер?"
